,id,rooms,metro,area,floor,parking,price,renovation,room_area,balcony,windows,bathroom,allowed_children_pets,ceiling_height,city
4,273614615,2,Арбатская,58.0,12,unknown,225000.0,Евроремонт,19.0,unknown,На улицу и двор,Совмещенный (2),unknown,3.9,Москва
7,274475342,3,Смоленская,98.0,2,подземная,250000.0,Евроремонт,21.0,unknown,Во двор,"Совмещенный (1), Раздельный (1)","Можно с детьми, Можно с животными",3.2,Москва
8,273973191,3,Смоленская,120.0,5,открытая,130000.0,Евроремонт,31.666666666666668,unknown,На улицу,Совмещенный (1),Можно с животными,3.0,Москва
9,272900409,4,Арбатская,90.0,2,открытая,210000.0,Евроремонт,16.5,Балкон (1),На улицу и двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,310.0,Москва
11,273999490,3,Смоленская,80.0,4,unknown,100000.0,Евроремонт,17.666666666666668,Балкон (3),На улицу и двор,Совмещенный (1),unknown,3.0,Москва
12,274017037,3,Смоленская,100.0,2,unknown,200000.0,Дизайнерский,80.0,unknown,Во двор,Совмещенный (2),"Можно с детьми, Можно с животными",3.0,Москва
20,273941734,2,Арбатская,64.0,12,unknown,205000.0,Евроремонт,25.0,unknown,На улицу,Совмещенный (2),"Можно с детьми, Можно с животными",3.0,Москва
21,274493570,3,Кропоткинская,112.0,2,подземная,230000.0,Евроремонт,25.666666666666668,Балкон (1),На улицу и двор,Совмещенный (2),Можно с детьми,3.2,Москва
25,272945376,3,Арбатская,100.0,3,наземная,200000.0,Евроремонт,20.333333333333332,unknown,На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными",3.2,Москва
35,272188531,2,Арбатская,44.0,21,unknown,135000.0,Косметический,17.666666666666668,unknown,Во двор,Раздельный (1),unknown,4.15,Москва
36,272727784,3,Смоленская,85.0,7,unknown,150000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными",3.0,Москва
37,267110043,2,Смоленская,100.0,5,unknown,320000.0,Косметический,17.666666666666668,Балкон (1),На улицу,Раздельный (2),Можно с детьми,3.0,Москва
45,272823500,3,Арбатская,85.0,7,подземная,150000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Совмещенный (1),unknown,3.0,Москва
46,274402813,3,Смоленская,105.0,6,подземная,195000.0,Евроремонт,23.333333333333332,unknown,На улицу и двор,Совмещенный (3),"Можно с детьми, Можно с животными",3.0,Москва
48,271265359,2,Смоленская,60.0,5,наземная,90000.0,Евроремонт,21.5,unknown,На улицу и двор,Совмещенный (1),Можно с детьми,3.2,Москва
49,274289253,3,Арбатская,85.0,7,unknown,150000.0,Дизайнерский,17.666666666666668,Балкон (1),Во двор,unknown,unknown,3.0,Москва
53,273779074,2,Смоленская,60.0,3,unknown,120000.0,Косметический,17.666666666666668,unknown,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными",3.6,Москва
54,274217247,3,Смоленская,103.0,2,unknown,120000.0,Косметический,24.666666666666668,unknown,На улицу и двор,Совмещенный (1),Можно с детьми,3.8,Москва
57,274252871,3,Смоленская,105.0,6,подземная,240000.0,Косметический,20.0,Лоджия (1),На улицу и двор,"Совмещенный (2), Раздельный (1)","Можно с детьми, Можно с животными",3.0,Москва
58,269132104,1,Смоленская,60.0,2,подземная,250000.0,Евроремонт,30.0,unknown,Во двор,Совмещенный (1),Можно с детьми,3.0,Москва
67,274199925,3,Арбатская,100.0,2,unknown,115000.0,Косметический,22.666666666666668,unknown,Во двор,unknown,Можно с детьми,3.0,Москва
68,274223065,2,Смоленская,60.0,3,unknown,120000.0,Дизайнерский,17.666666666666668,unknown,На улицу,unknown,unknown,3.0,Москва
70,272632345,3,Арбатская,98.0,6,unknown,185000.0,Косметический,24.0,unknown,Во двор,Раздельный (1),unknown,3.0,Москва
80,274528249,1,Арбатская,45.0,6,наземная,120000.0,Дизайнерский,17.666666666666668,Балкон (1),Во двор,Совмещенный (1),unknown,3.0,Москва
81,274431438,3,Смоленская,65.0,7,наземная,130000.0,Евроремонт,16.333333333333332,unknown,На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными",3.2,Москва
82,274064272,3,Арбатская,87.0,4,unknown,140000.0,Евроремонт,22.666666666666668,unknown,На улицу и двор,Раздельный (1),unknown,3.0,Москва
83,273078340,3,Смоленская,90.0,7,unknown,145000.0,Дизайнерский,23.333333333333332,Балкон (1),На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными",3.0,Москва
87,274319903,3,Смоленская,75.0,9,открытая,99000.0,Косметический,15.666666666666666,unknown,Во двор,Раздельный (1),"Можно с детьми, Можно с животными",3.0,Москва
88,273427928,3,Смоленская,87.0,3,unknown,100000.0,Дизайнерский,18.0,unknown,На улицу,Совмещенный (1),Можно с детьми,3.0,Москва
89,274296188,3,Арбатская,105.0,9,открытая,180000.0,Косметический,17.0,Балкон (1),На улицу и двор,Совмещенный (2),Можно с детьми,3.0,Москва
90,272887177,3,Арбатская,99.0,3,подземная,200000.0,Косметический,22.666666666666668,Лоджия (1),Во двор,Совмещенный (2),Можно с детьми,3.2,Москва
91,269319175,1,Смоленская,60.0,2,подземная,250000.0,Косметический,33.0,unknown,Во двор,Совмещенный (1),Можно с детьми,3.5,Москва
93,274501292,3,Арбатская,120.0,3,unknown,300000.0,Дизайнерский,17.666666666666668,unknown,На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными",3.0,Москва
104,274066192,2,Смоленская,52.0,11,наземная,80000.0,Косметический,17.666666666666668,unknown,На улицу,Совмещенный (1),Можно с детьми,3.0,Москва
105,273763131,3,Смоленская,91.0,9,unknown,95000.0,Без ремонта,17.666666666666668,unknown,Во двор,Раздельный (1),unknown,3.0,Москва
106,273684904,2,Смоленская,56.0,7,наземная,105000.0,Косметический,17.666666666666668,Балкон (1),На улицу и двор,Раздельный (1),"Можно с детьми, Можно с животными",3.0,Москва
107,271542995,3,Смоленская,80.0,5,наземная,120000.0,Косметический,14.666666666666666,Балкон (2),Во двор,Совмещенный (1),unknown,3.2,Москва
108,273012299,2,Арбатская,94.0,5,unknown,135000.0,Косметический,21.0,unknown,На улицу и двор,Совмещенный (1),unknown,3.2,Москва
110,274336333,3,Смоленская,94.0,4,наземная,145000.0,Евроремонт,21.333333333333332,unknown,Во двор,Совмещенный (2),Можно с детьми,5.5,Москва
111,272244255,3,Смоленская,90.0,4,наземная,145000.0,Косметический,17.666666666666668,unknown,На улицу,Раздельный (1),unknown,3.0,Москва
112,272701749,2,Кропоткинская,120.0,4,наземная,165000.0,Косметический,43.0,unknown,На улицу,Совмещенный (1),unknown,3.0,Москва
116,256631941,3,Арбатская,120.0,4,наземная,190000.0,Косметический,24.0,unknown,На улицу,Совмещенный (2),"Можно с детьми, Можно с животными",3.0,Москва
117,272917777,3,Боровицкая,95.0,3,подземная,200000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Раздельный (2),unknown,3.0,Москва
119,274434108,3,Арбатская,70.0,24,unknown,230000.0,Дизайнерский,16.0,unknown,Во двор,Совмещенный (2),Можно с детьми,3.0,Москва
120,272559990,2,Смоленская,63.0,2,unknown,270000.0,Дизайнерский,17.666666666666668,unknown,Во двор,unknown,unknown,3.0,Москва
139,274009456,2,Смоленская,53.0,11,unknown,80000.0,Евроремонт,17.5,unknown,На улицу и двор,Совмещенный (1),unknown,3.2,Москва
140,274723871,2,Смоленская,53.0,5,наземная,80000.0,Евроремонт,18.0,unknown,Во двор,Раздельный (1),Можно с детьми,2.5,Москва
141,274548003,2,Арбатская,60.0,23,наземная,90000.0,Косметический,20.0,unknown,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными",3.0,Москва
143,274903280,3,Смоленская,80.0,2,unknown,100000.0,Евроремонт,16.666666666666668,unknown,Во двор,unknown,Можно с детьми,3.0,Москва
144,271439388,3,Смоленская,68.0,5,наземная,100000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными",2.8,Москва
145,273474991,2,Краснопресненская,55.0,7,открытая,105000.0,Евроремонт,16.0,Лоджия (1),На улицу,Раздельный (1),"Можно с детьми, Можно с животными",2.8,Москва
146,274135582,2,Смоленская,55.0,8,наземная,110000.0,Евроремонт,16.5,unknown,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными",3.2,Москва
147,274880892,3,Арбатская,103.0,2,unknown,120000.0,Дизайнерский,17.666666666666668,unknown,На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными",3.0,Москва
148,271716464,3,Смоленская,80.0,5,unknown,120000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,unknown,unknown,3.0,Москва
149,271249218,2,Смоленская,65.0,1,подземная,130000.0,Дизайнерский,22.0,unknown,Во двор,Совмещенный (1),Можно с детьми,3.0,Москва
150,274012210,2,Арбатская,98.0,5,открытая,135000.0,Евроремонт,23.0,unknown,Во двор,Совмещенный (1),Можно с детьми,3.4,Москва
152,273650910,2,Арбатская,89.4,5,unknown,135000.0,Евроремонт,17.666666666666668,unknown,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными",3.0,Москва
